0,1,2,3,4,5,6,7,8,9
0.0,0.0,7.5,1.0,1.0,1.0,65.0,4.4,61.0,79.0
1.0,1.0,8.9,0.0,3.0,2.0,90.0,4.0,78.0,82.0
1.0,0.0,7.3,1.0,2.0,2.0,82.0,4.8,79.0,80.0
1.0,1.0,7.5,1.0,1.0,2.0,85.0,4.4,81.0,80.0
1.0,1.0,8.3,1.0,2.0,2.0,86.0,4.5,74.0,88.0
1.0,0.0,7.0,0.0,2.0,2.0,71.0,4.2,55.0,66.0
0.0,0.0,7.7,1.0,1.0,1.0,76.0,4.0,62.0,65.0
1.0,1.0,7.7,2.0,1.0,0.0,85.0,3.5,59.0,72.0
0.0,1.0,6.5,1.0,1.0,0.0,84.0,3.9,75.0,71.0
1.0,1.0,7.8,1.0,3.0,2.0,79.0,4.4,85.0,86.0
1.0,1.0,8.3,2.0,3.0,2.0,90.0,4.8,82.0,88.0
1.0,1.0,7.9,1.0,3.0,2.0,90.0,4.8,71.0,87.0
1.0,1.0,8.3,2.0,3.0,2.0,90.0,4.5,84.0,83.0
0.0,1.0,7.7,1.0,1.0,1.0,74.0,4.6,63.0,73.0
0.0,0.0,7.5,1.0,1.0,1.0,66.0,4.1,61.0,66.0
0.0,0.0,7.4,0.0,2.0,1.0,78.0,4.4,63.0,66.0
1.0,1.0,8.6,0.0,3.0,0.0,84.0,4.8,62.0,78.0
1.0,1.0,8.2,2.0,3.0,2.0,90.0,4.7,84.0,86.0
1.0,1.0,6.8,2.0,3.0,0.0,73.0,4.4,72.0,82.0
0.0,1.0,7.4,1.0,2.0,0.0,70.0,4.4,58.0,63.0
0.0,1.0,7.6,2.0,1.0,0.0,84.0,4.4,77.0,75.0
0.0,1.0,7.4,1.0,2.0,1.0,72.0,3.5,82.0,69.0
0.0,1.0,7.7,0.0,1.0,0.0,77.0,3.4,55.0,72.0
0.0,0.0,7.4,1.0,1.0,0.0,60.0,3.8,55.0,71.0
0.0,1.0,7.4,1.0,2.0,1.0,90.0,4.3,56.0,69.0
0.0,0.0,6.7,1.0,1.0,1.0,70.0,4.0,68.0,57.0
1.0,1.0,7.4,2.0,3.0,2.0,78.0,4.3,76.0,82.0
1.0,1.0,8.3,1.0,1.0,1.0,81.0,4.5,64.0,65.0
0.0,0.0,7.5,1.0,2.0,1.0,84.0,4.4,66.0,73.0
0.0,1.0,7.0,0.0,1.0,1.0,63.0,3.9,60.0,61.0
1.0,1.0,8.4,2.0,3.0,2.0,90.0,4.6,55.0,80.0
0.0,1.0,7.4,1.0,2.0,1.0,76.0,4.7,66.0,69.0
1.0,1.0,8.5,1.0,3.0,0.0,90.0,4.8,85.0,85.0
1.0,1.0,8.6,1.0,2.0,2.0,75.0,4.3,62.0,80.0
0.0,1.0,6.9,0.0,1.0,0.0,70.0,3.9,79.0,68.0
0.0,0.0,7.8,1.0,1.0,1.0,67.0,4.3,65.0,73.0
1.0,1.0,8.3,1.0,2.0,2.0,89.0,4.8,75.0,81.0
0.0,1.0,8.2,1.0,2.0,2.0,77.0,4.2,72.0,72.0
1.0,1.0,8.5,2.0,3.0,3.0,90.0,4.7,79.0,86.0
1.0,1.0,6.7,0.0,3.0,2.0,88.0,4.2,72.0,86.0
1.0,1.0,8.6,2.0,3.0,1.0,90.0,4.8,63.0,84.0
1.0,1.0,8.3,2.0,3.0,2.0,85.0,4.8,77.0,83.0
0.0,0.0,6.7,0.0,1.0,1.0,72.0,4.4,55.0,60.0
1.0,1.0,8.6,2.0,3.0,2.0,88.0,4.7,80.0,87.0
0.0,1.0,7.4,1.0,3.0,0.0,86.0,4.8,70.0,73.0
0.0,0.0,6.7,1.0,1.0,2.0,73.0,4.5,55.0,66.0
0.0,0.0,6.9,1.0,1.0,1.0,76.0,4.4,55.0,65.0
0.0,1.0,7.0,1.0,1.0,0.0,62.0,4.3,59.0,67.0
1.0,1.0,8.1,1.0,3.0,2.0,90.0,4.6,77.0,87.0
1.0,0.0,7.7,1.0,2.0,0.0,74.0,3.8,55.0,66.0
0.0,1.0,6.5,0.0,2.0,1.0,77.0,4.8,56.0,65.0
1.0,0.0,8.2,1.0,3.0,0.0,65.0,4.1,66.0,65.0
1.0,1.0,8.1,2.0,3.0,2.0,90.0,4.7,82.0,82.0
1.0,1.0,6.5,1.0,2.0,1.0,80.0,4.5,72.0,67.0
0.0,0.0,6.5,0.0,2.0,1.0,72.0,4.5,57.0,69.0
1.0,1.0,8.8,2.0,3.0,2.0,90.0,4.8,86.0,88.0
1.0,1.0,8.0,1.0,1.0,0.0,74.0,4.5,55.0,65.0
1.0,1.0,8.4,2.0,2.0,2.0,81.0,4.6,77.0,82.0
0.0,0.0,8.0,1.0,1.0,0.0,86.0,4.2,55.0,83.0
0.0,1.0,6.6,0.0,1.0,0.0,76.0,3.9,78.0,69.0
1.0,1.0,7.7,2.0,2.0,0.0,86.0,4.0,79.0,64.0
1.0,1.0,8.2,1.0,2.0,1.0,86.0,4.3,86.0,63.0
0.0,0.0,7.2,1.0,2.0,0.0,74.0,4.1,70.0,65.0
0.0,0.0,6.6,1.0,2.0,1.0,72.0,4.1,55.0,75.0
1.0,0.0,7.6,1.0,2.0,0.0,77.0,4.6,84.0,67.0
1.0,0.0,8.0,0.0,3.0,0.0,68.0,4.2,64.0,83.0
1.0,0.0,7.8,2.0,3.0,2.0,87.0,4.8,90.0,83.0
1.0,1.0,7.2,1.0,1.0,0.0,82.0,4.6,57.0,64.0
0.0,1.0,7.7,1.0,1.0,0.0,74.0,4.1,57.0,68.0
1.0,1.0,8.4,1.0,1.0,2.0,67.0,3.8,76.0,69.0
0.0,1.0,7.5,1.0,1.0,1.0,69.0,4.3,71.0,76.0
0.0,0.0,6.7,0.0,2.0,1.0,79.0,4.1,78.0,67.0
1.0,1.0,8.1,2.0,3.0,2.0,90.0,4.8,80.0,86.0
0.0,0.0,7.5,1.0,2.0,0.0,73.0,4.4,66.0,84.0
0.0,1.0,7.4,2.0,1.0,0.0,75.0,4.2,65.0,84.0
